date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:30:41	8583000/8583000	---M--	200	added ('OK')	video/mp4	etag:%2263daf19c-82f758%22	http://super-mario3d-world.net/assets/videos/home/Homepage_ExploreTogether_7sec_576x324.mp4	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/videos/home/Homepage_ExploreTogether_7sec_576x324.mp4	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
02:30:50	53112/53112	---M--	200	added ('OK')	image/jpeg	etag:%2263daf19c-cf78%22	http://super-mario3d-world.net/assets/img/play-together/PlayTogether_7sec-m.jpg	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/PlayTogether_7sec-m.jpg	(from http://super-mario3d-world.net/play-together/)
02:31:22	195779/195779	---M--	200	added ('OK')	image/png	etag:%2263daf19c-2fcc3%22	http://super-mario3d-world.net/assets/img/play-together/header/characters.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/header/characters.png	(from http://super-mario3d-world.net/play-together/)
02:31:41	116948/116948	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1c8d4%22	http://super-mario3d-world.net/assets/img/play-together/characters/mario.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/characters/mario.png	(from http://super-mario3d-world.net/play-together/)
02:32:00	113840/113840	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1bcb0%22	http://super-mario3d-world.net/assets/img/play-together/characters/luigi.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/characters/luigi.png	(from http://super-mario3d-world.net/play-together/)
02:32:18	9260189/9260189	---M--	200	added ('OK')	video/mp4	etag:%2263daf19c-8d4c9d%22	http://super-mario3d-world.net/assets/videos/home/Homepage_PlayTogether_7sec_576x324.mp4	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/videos/home/Homepage_PlayTogether_7sec_576x324.mp4	(from http://super-mario3d-world.net/?utm_source=facebook&utm_medium=cpc_costs_per_clickks&utm_campaign=camp1&fbclid=IwAR2SLu6_d5lwyRAv5iGVv8MwJxRUf8SaHjKy0H7urKQTSl1IOISDUF82xVo)
02:32:20	127485/127485	---M--	200	added ('OK')	image/png	etag:%2263daf19c-1f1fd%22	http://super-mario3d-world.net/assets/img/play-together/characters/princess-peach.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/characters/princess-peach.png	(from http://super-mario3d-world.net/play-together/)
02:32:33	93571/93571	---M--	200	added ('OK')	image/png	etag:%2263daf19c-16d83%22	http://super-mario3d-world.net/assets/img/play-together/characters/toad.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/characters/toad.png	(from http://super-mario3d-world.net/play-together/)
02:32:36	96225/96225	---M--	200	added ('OK')	image/png	etag:%2263daf19c-177e1%22	http://super-mario3d-world.net/assets/img/play-together/characters/rosalina.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/play-together/characters/rosalina.png	(from http://super-mario3d-world.net/play-together/)
02:32:36	13885/13885	---M--	200	added ('OK')	image/png	etag:%2263daf198-363d%22	http://super-mario3d-world.net/assets/img/global/stickers/cat_mario.png	C:/My%20Web%20Sites/Mario/super-mario3d-world.net/assets/img/global/stickers/cat_mario.png	(from http://super-mario3d-world.net/play-together/)
